Date,Amount,Category,Description
2026-09-01,$72.40,Food Delivery,Uber Eats Dinner Order
2026-09-02,$18.50,Fuel,BP Service Station Fuel
2026-09-03,$120.00,Shopping,Kmart Household Shopping
2026-09-04,$6.80,Coffee,Starbucks Iced Latte
2026-09-05,-$20.00,Refund,Returned Headphones Refund
2026-09-06,$14.99,Subscription,Netflix Monthly Subscription
2026-09-07,$42.30,Groceries,Coles Weekly Grocery Shop
2026-09-08,$9.50,Transport,Transperth Train Fare
2026-09-09,$65.00,Entertainment,Event Cinema Movie Tickets
2026-09-10,$28.75,Dining Out,Local Restaurant Dinner
2026-09-11,$95.00,Shopping,Target Clothing Purchase
2026-09-12,$15.20,Coffee,Zarraffas Coffee Large Latte
2026-09-13,$52.60,Groceries,Woolworths Grocery Shopping
2026-09-14,$11.00,Transport,Bus Ticket Weekly Pass
2026-09-15,$180.00,Rent,Weekly Apartment Rent
2026-09-16,$35.90,Food Delivery,Dominos Pizza Delivery
2026-09-17,-$12.00,Refund,Cafe Refund Transaction
2026-09-18,$22.50,Entertainment,Spotify Premium Subscription
2026-09-19,$48.25,Dining Out,Nandos Dinner Meal
2026-09-20,$85.00,Shopping,University Supplies Purchase
2026-09-21,$5.60,Coffee,Campus Coffee Cart Cappuccino
2026-09-22,$74.80,Groceries,IGA Grocery Shopping
2026-09-23,$16.00,Transport,Uber Ride to University
2026-09-24,$130.00,Shopping,Officeworks Electronics Purchase
2026-09-25,$8.90,Coffee,Local Cafe Flat White
